# windows center
63, 118, 173, 228, 283, 338, 393, 448, 503, 558, 613, 668, 723, 778, 833, 888, 943, 998, 1053, 1108, 1163, 1218
60, 156, 250, 344, 440, 542
# colum and edge
28, 91, 146, 201, 256, 311, 366, 421, 476, 531, 586, 641, 696, 750, 805, 860, 915, 970, 1025, 1080, 1135, 1190, 1252
0, 108, 203, 298, 393, 488, 610
# windows four Points
  40,   18,   86,   18,   86,  102,   40,  102
  95,   18,  140,   18,  140,  102,   95,  102
 150,   18,  195,   18,  195,  102,  150,  102
 205,   18,  250,   18,  250,  102,  205,  102
 260,   18,  305,   18,  305,  102,  260,  102
 315,   18,  360,   18,  360,  102,  315,  102
 370,   18,  415,   18,  415,  102,  370,  102
 424,   18,  470,   18,  470,  102,  424,  102
 479,   18,  525,   18,  525,  102,  479,  102
 535,   18,  580,   18,  580,  102,  535,  102
 589,   18,  635,   18,  635,  102,  589,  102
 644,   18,  690,   18,  690,  102,  644,  102
 699,   18,  745,   18,  699,  102,  745,  102
 754,   18,  800,   18,  800,  102,  754,  102
 809,   18,  854,   18,  854,  102,  809,  102
 864,   18,  910,   18,  910,  102,  864,  102
 919,   18,  965,   18,  965,  102,  919,  102
 974,   18, 1019,   18, 1019,  102,  974,  102
1029,   18, 1074,   18, 1074,  102, 1029,  102
1084,   18, 1129,   18, 1129,  102, 1084,  102
1138,   18, 1184,   18, 1184,  102, 1138,  102
1194,   18, 1239,   18, 1239,  102, 1194,  102
  40,  114,   86,  114,   86,  196,   40,  196
  95,  114,  140,  114,  140,  196,   95,  196
 150,  114,  195,  114,  195,  196,  150,  196
 205,  114,  250,  114,  250,  196,  205,  196
 260,  114,  305,  114,  305,  196,  260,  196
 315,  114,  360,  114,  360,  196,  315,  196
 370,  114,  415,  114,  415,  196,  370,  196
 424,  114,  470,  114,  470,  196,  424,  196
 479,  114,  525,  114,  525,  196,  479,  196
 535,  114,  580,  114,  580,  196,  535,  196
 589,  114,  635,  114,  635,  196,  589,  196
 644,  114,  690,  114,  690,  196,  644,  196
 699,  114,  745,  114,  699,  196,  745,  196
 754,  114,  800,  114,  800,  196,  754,  196
 809,  114,  854,  114,  854,  196,  809,  196
 864,  114,  910,  114,  910,  196,  864,  196
 919,  114,  965,  114,  965,  196,  919,  196
 974,  114, 1019,  114, 1019,  196,  974,  196
1029,  114, 1074,  114, 1074,  196, 1029,  196
1084,  114, 1129,  114, 1129,  196, 1084,  196
1138,  114, 1184,  114, 1184,  196, 1138,  196
1194,  114, 1239,  114, 1239,  196, 1194,  196
  40,  208,   86,  208,   86,  291,   40,  291
  95,  208,  140,  208,  140,  291,   95,  291
 150,  208,  195,  208,  195,  291,  150,  291
 205,  208,  250,  208,  250,  291,  205,  291
 260,  208,  305,  208,  305,  291,  260,  291
 315,  208,  360,  208,  360,  291,  315,  291
 370,  208,  415,  208,  415,  291,  370,  291
 424,  208,  470,  208,  470,  291,  424,  291
 479,  208,  525,  208,  525,  291,  479,  291
 535,  208,  580,  208,  580,  291,  535,  291
 589,  208,  635,  208,  635,  291,  589,  291
 644,  208,  690,  208,  690,  291,  644,  291
 699,  208,  745,  208,  699,  291,  745,  291
 754,  208,  800,  208,  800,  291,  754,  291
 809,  208,  854,  208,  854,  291,  809,  291
 864,  208,  910,  208,  910,  291,  864,  291
 919,  208,  965,  208,  965,  291,  919,  291
 974,  208, 1019,  208, 1019,  291,  974,  291
1029,  208, 1074,  208, 1074,  291, 1029,  291
1084,  208, 1129,  208, 1129,  291, 1084,  291
1138,  208, 1184,  208, 1184,  291, 1138,  291
1194,  208, 1239,  208, 1239,  291, 1194,  291
  40,  302,   86,  302,   86,  387,   40,  387
  95,  302,  140,  302,  140,  387,   95,  387
 150,  302,  195,  302,  195,  387,  150,  387
 205,  302,  250,  302,  250,  387,  205,  387
 260,  302,  305,  302,  305,  387,  260,  387
 315,  302,  360,  302,  360,  387,  315,  387
